responses,questions,stage,intent
I'm glad I could assist you. We appreciate you utilizing our services!,"oh , i think i found it . thanks",Stage_3,card_loss
I'm sorry to hear that .,i can't find it,Stage_3,card_loss
I apologise for my lack of helping you in your issue,it's nowhere to be seen,Stage_3,card_loss
I am sorry . I apologise for my incapacity of helping you,you could not help me,Stage_3,card_loss
I'm sorry I could not help,it's not here,Stage_3,card_loss
I apologise for my incapacity of being useful to you,i can't seem to find it,Stage_3,card_loss
I'm happy I could help.,thanks . i found it,Stage_3,card_loss
I'm glad you found it !,my card is here,Stage_3,card_loss
That's good news . Thank you for utilising our services.,i found my card after all,Stage_3,card_loss
Happy to help . Please use our services again.,thanks for helping me find my card,Stage_3,card_loss
Glad to be of use.,i'm happy i found my card,Stage_3,card_loss
